       z      mass      cnfw      a      b
       3.0000000      -7.7878790       9.2998848       9.3217182       51.600849
       3.0000000      -7.4848490       9.1310282       9.1503601       48.418056
       3.0000000      -7.1818171       8.9610844       8.9784412       45.358979
       3.0000000      -6.8787870       8.7901230       8.8057232       42.422173
       3.0000000      -6.5757570       8.6182728       8.6318598       39.606081
       3.0000000      -6.2727270       8.4457235       8.4575396       36.909111
       3.0000000      -5.9696970       8.2727156       8.2830114       34.329612
       3.0000000      -5.6666670       8.0987339       8.1085739       31.865872
       3.0000000      -5.3636351       7.9233499       7.9321508       29.516101
       3.0000000      -5.0606050       7.7483244       7.7562857       27.278502
       3.0000000      -4.7575750       7.5715055       7.5795798       25.151157
       3.0000000      -4.4545450       7.3953204       7.4029756       23.132104
       3.0000000      -4.1515150       7.2172170       7.2253742       21.219314
       3.0000000      -3.8484848       7.0393505       7.0482230       19.410684
       3.0000000      -3.5454547       6.8613801       6.8709207       17.704047
       3.0000000      -3.2424228       6.6828671       6.6928577       16.097148
       3.0000000      -2.9393928       6.5038066       6.5150027       14.587699
       3.0000000      -2.6363628       6.3247952       6.3373284       13.173314
       3.0000000      -2.3333328       6.1456852       6.1599116       11.851573
       3.0000000      -2.0303028       5.9662204       5.9829249       10.620030
       3.0000000      -1.7272729       5.7871108       5.8055425       9.4762225
       3.0000000      -1.4242409       5.6088305       5.6286969       8.4176064
       3.0000000      -1.1212109       5.4298301       5.4529819       7.4414979
       3.0000000     -0.81818092       5.2522163       5.2768517       6.5450006
       3.0000000     -0.51515090       5.0748153       5.1021943       5.7250684
       3.0000000     -0.21212086       4.8984513       4.9288440       4.9785322
       3.0000000     0.090909153       4.7236543       4.7563400       4.3021155
       3.0000000      0.39393917       4.5507488       4.5858417       3.6924469
       3.0000000      0.69697106       4.3801908       4.4176521       3.1460639
       3.0000000       1.0000011       4.2124524       4.2521591       2.6594366
       3.0000000       1.3030311       4.0471559       4.0890503       2.2289538
       3.0000000       1.6060611       3.8858638       3.9294896       1.8509493
       3.0000000       1.9090911       3.7284548       3.7741024       1.5217092
       3.0000000       2.2121212       3.5755923       3.6222699       1.2374866
       3.0000000       2.5151532       3.4275429       3.4755759      0.99451838
       3.0000000       2.8181832       3.2854130       3.3335767      0.78904993
       3.0000000       3.1212132       3.1485965       3.1976027      0.61734995
       3.0000000       3.4242432       3.0187175       3.0671723      0.47574325
       3.0000000       3.7272732       2.8954685       2.9437037      0.36063986
       3.0000000       4.0303030       2.7798095       2.8267853      0.26856737
       3.0000000       4.3333349       2.6714184       2.7172513      0.19620460
       3.0000000       4.6363649       2.5711329       2.6154370      0.14041747
       3.0000000       4.9393950       2.4789393       2.5214064     0.098286014
       3.0000000       5.2424250       2.3950164       2.4353733     0.067148322
       3.0000000       5.5454550       2.3191721       2.3577502     0.044683334
       3.0000000       5.8484850       2.2514994       2.2875323     0.028931881
       3.0000000       6.1515150       2.1912215       2.2252755     0.018205146
